"year","quarter","date_qend","pred","deriv_kgd","change","high","low","range"
2009,"Q2",2009-06-30,61.798,0.002,NA,61.798,61.739,0.059
2009,"Q3",2009-09-30,61.98,0.002,0.182,61.98,61.801,0.179
2009,"Q4",2009-12-31,62.056,0,0.076,62.056,61.981,0.074
2010,"Q1",2010-03-31,62.516,0.021,0.46,62.516,62.047,0.469
2010,"Q2",2010-06-30,64.67,-0.036,2.154,65.206,62.537,2.668
2010,"Q3",2010-09-30,64.07,-0.014,-0.6,64.634,63.925,0.709
2010,"Q4",2010-12-31,64.597,0.02,0.526,64.597,63.878,0.719
2011,"Q1",2011-03-31,66.855,0.025,2.258,66.855,64.617,2.238
2011,"Q2",2011-06-30,68.253,0.001,1.398,68.253,66.88,1.373
2011,"Q3",2011-09-30,66.065,-0.053,-2.188,68.254,66.065,2.189
2011,"Q4",2011-12-31,61.58,-0.021,-4.484,66.011,61.58,4.43
2012,"Q1",2012-03-31,62.698,0.031,1.117,62.698,61.356,1.342
2012,"Q2",2012-06-30,64.811,0.006,2.113,64.811,62.729,2.082
2012,"Q3",2012-09-30,65.853,0.026,1.042,65.853,64.817,1.036
2012,"Q4",2012-12-31,69.025,0.037,3.172,69.025,65.88,3.146
2013,"Q1",2013-03-31,71.679,0.016,2.654,71.679,69.063,2.617
2013,"Q2",2013-06-30,71.02,-0.036,-0.66,71.981,71.02,0.961
2013,"Q3",2013-09-30,70.038,0.012,-0.982,70.983,68.601,2.382
2013,"Q4",2013-12-31,71.611,0.009,1.573,71.611,70.049,1.563
2014,"Q1",2014-03-31,72.229,0.005,0.618,72.229,71.62,0.609
2014,"Q2",2014-06-30,72.55,0.003,0.321,72.55,72.234,0.316
2014,"Q3",2014-09-30,72.765,0.002,0.215,72.765,72.553,0.212
2014,"Q4",2014-12-31,73.074,0.005,0.309,73.074,72.767,0.306
2015,"Q1",2015-03-31,73.634,0.008,0.56,73.634,73.079,0.555
2015,"Q2",2015-06-30,74.449,0.01,0.814,74.449,73.642,0.807
2015,"Q3",2015-09-30,75.447,0.012,0.999,75.447,74.459,0.989
2015,"Q4",2015-12-31,76.544,0.012,1.096,76.544,75.459,1.085
2016,"Q1",2016-03-31,77.646,0.012,1.102,77.646,76.556,1.09
2016,"Q2",2016-06-30,78.689,0.011,1.043,78.689,77.658,1.031
2016,"Q3",2016-09-30,79.605,0.009,0.916,79.605,78.7,0.905
2016,"Q4",2016-12-31,80.302,0.006,0.697,80.302,79.614,0.688
2017,"Q1",2017-03-31,80.697,0.003,0.394,80.697,80.308,0.388
2017,"Q2",2017-06-30,80.73,-0.002,0.033,80.766,80.699,0.066
2017,"Q3",2017-09-30,80.912,0.019,0.183,80.912,80.563,0.35
2017,"Q4",2017-12-31,83.26,0.018,2.348,83.26,80.932,2.328
2018,"Q1",2018-03-31,81.937,-0.061,-1.323,83.565,81.937,1.628
2018,"Q2",2018-06-30,73.192,-0.036,-8.745,81.876,73.192,8.684
2018,"Q3",2018-09-30,73.38,0.008,0.188,73.38,72.935,0.445
2018,"Q4",2018-12-31,75.347,0.042,1.967,75.347,73.388,1.959
2019,"Q1",2019-03-31,79.364,-0.041,4.017,79.549,75.389,4.16
2019,"Q2",2019-06-30,80.271,-0.06,0.906,80.378,78.451,1.928
2019,"Q3",2019-09-30,75.744,0.005,-4.527,80.37,75.742,4.629
2019,"Q4",2019-12-31,79.648,0.127,3.905,79.648,75.752,3.896
2020,"Q1",2020-03-31,77.282,0.053,-2.366,80.853,75.334,5.519
2020,"Q2",2020-06-30,78.981,-0.019,1.699,79.182,77.334,1.848
2020,"Q3",2020-09-30,74.924,0.014,-4.057,78.962,74.891,4.07
2020,"Q4",2020-12-31,78.006,-0.008,3.083,78.033,74.939,3.094
2021,"Q1",2021-03-31,82.264,0.027,4.258,82.264,77.977,4.287
2021,"Q2",2021-06-30,84.165,-0.036,1.901,84.373,82.29,2.082
2021,"Q3",2021-09-30,84.752,0.018,0.587,84.752,82.764,1.988
2021,"Q4",2021-12-31,81.775,-0.032,-2.977,84.911,81.775,3.136
2022,"Q1",2022-03-31,84.86,0.023,3.085,84.86,81.57,3.29
2022,"Q2",2022-06-30,83.988,0.003,-0.872,85.012,83.979,1.033
2022,"Q3",2022-09-30,85.845,0.021,1.858,85.845,83.991,1.854
2022,"Q4",2022-12-31,86.17,-0.005,0.325,86.353,85.866,0.486
2023,"Q1",2023-03-31,86.075,0.002,-0.096,86.165,86.038,0.127
2023,"Q2",2023-06-30,86.203,0,0.128,86.203,86.076,0.126
2023,"Q3",2023-09-30,86.605,0.007,0.402,86.605,86.203,0.402
2023,"Q4",2023-12-31,86.158,0.035,-0.447,86.692,85.88,0.812
2024,"Q1",2024-03-31,81.993,-0.011,-4.165,86.29,81.993,4.297
2024,"Q2",2024-06-30,80.056,-0.003,-1.937,82.157,80.056,2.101
2024,"Q3",2024-09-30,80.783,0.002,0.727,80.783,80.053,0.73
2024,"Q4",2024-12-31,80.681,-0.001,-0.101,80.796,80.681,0.114
2025,"Q1",2025-03-31,80.852,0.004,0.171,80.852,80.671,0.181
2025,"Q2",2025-06-30,81.362,0.006,0.51,81.362,80.856,0.505
2025,"Q3",2025-09-30,81.821,0.003,0.46,81.821,81.368,0.454
2025,"Q4",2025-12-31,81.818,-0.004,-0.003,81.903,81.818,0.085
2026,"Q1",2026-03-31,80.977,-0.015,-0.841,81.814,80.977,0.837
2026,"Q2",2026-06-30,79.01,0.003,-1.967,80.962,79.001,1.961
2026,"Q3",2026-08-25,79.5,0.01,0.489,79.5,79.014,0.486
